frame.number,frame.time_epoch,frame.len,btle.length,btle.central_bd_addr,btle.peripheral_bd_addr,btle.access_address,btle.data_header.llid,btatt.opcode,btatt.handle,btatt.value,inter_arrival_time,type
7416,1763251868.339082,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.029777050018310547,normal
7417,1763251868.354084,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.015002012252807617,normal
7418,1763251868.354401,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003170967102050781,normal
7419,1763251868.369086,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014684915542602539,normal
7420,1763251868.39909,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.030004024505615234,normal
7421,1763251868.399319,53,27,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,9,21,,0.0002288818359375,normal
7422,1763251868.414094,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.01477503776550293,normal
7423,1763251868.414411,53,27,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,9,21,,0.0003170967102050781,normal
7424,1763251868.429096,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.014684915542602539,normal
7425,1763251868.429413,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003170967102050781,normal
7426,1763251868.459103,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,4,-1,,0.029690027236938477,normal
7427,1763251868.459403,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002999305725097656,normal
7428,1763251868.474105,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01470184326171875,normal
7429,1763251868.474333,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,1,27,,0.0002281665802001953,normal
7430,1763251868.489108,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.01477503776550293,normal
7431,1763251868.489424,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003159046173095703,normal
7432,1763251868.50411,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014686107635498047,normal
7433,1763251868.504338,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,1,40,,0.00022792816162109375,normal
7434,1763251868.519114,53,27,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.014775991439819336,normal
7435,1763251868.534116,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.015002012252807617,normal
7436,1763251868.534345,53,27,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,9,41,,0.0002288818359375,normal
7437,1763251868.54912,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.01477503776550293,normal
7438,1763251868.549437,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003170967102050781,normal
7439,1763251868.564122,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014684915542602539,normal
7440,1763251868.564351,53,27,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,9,43,,0.00022912025451660156,normal
7441,1763251868.579126,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.014774799346923828,normal
7442,1763251868.579443,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003170967102050781,normal
7443,1763251868.60913,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.029686927795410156,normal
7444,1763251868.609359,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,1,44,,0.00022912025451660156,normal
7445,1763251868.624133,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,4,-1,,0.014774084091186523,normal
7446,1763251868.624434,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003008842468261719,normal
7447,1763251868.639135,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014700889587402344,normal
7448,1763251868.639364,36,10,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,5,45,,0.00022912025451660156,normal
7449,1763251868.654139,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,4,-1,,0.01477503776550293,normal
7450,1763251868.65444,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003008842468261719,normal
7451,1763251868.669141,30,4,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014701128005981445,normal
7452,1763251868.684144,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.015002965927124023,normal
7453,1763251868.684372,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,1,46,,0.00022792816162109375,normal
7454,1763251868.699146,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,18,4,,0.014774084091186523,normal
7455,1763251868.699447,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003008842468261719,normal
7456,1763251868.714148,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014701128005981445,normal
7457,1763251868.714377,31,5,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,19,4,,0.0002288818359375,normal
7458,1763251868.729151,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,18,45,,0.014774084091186523,normal
7459,1763251868.729452,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003008842468261719,normal
7460,1763251868.744153,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014701128005981445,normal
7461,1763251868.759155,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.015002012252807617,normal
7462,1763251868.759384,31,5,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,19,45,,0.0002288818359375,normal
7463,1763251868.774158,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014774084091186523,normal
7464,1763251868.774387,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7465,1763251868.80416,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.029773235321044922,normal
7466,1763251868.804389,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7467,1763251868.819161,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01477193832397461,normal
7468,1763251868.834162,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.015001058578491211,normal
7469,1763251868.834391,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022912025451660156,normal
7470,1763251868.849163,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01477193832397461,normal
7471,1763251868.849391,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022792816162109375,normal
7472,1763251868.864163,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01477193832397461,normal
7473,1763251868.864393,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002300739288330078,normal
7474,1763251868.879165,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01477193832397461,normal
7475,1763251868.879393,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002281665802001953,normal
7476,1763251868.909167,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.029773950576782227,normal
7477,1763251868.909395,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022792816162109375,normal
7478,1763251868.924168,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014773130416870117,normal
7479,1763251868.924396,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022792816162109375,normal
7480,1763251868.984172,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.05977606773376465,normal
7481,1763251868.984401,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7482,1763251869.029175,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.04477405548095703,normal
7483,1763251869.029404,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7484,1763251869.044176,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014772176742553711,normal
7485,1763251869.044405,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7486,1763251869.104181,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.05977606773376465,normal
7487,1763251869.119182,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.015001058578491211,normal
7488,1763251869.119411,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7489,1763251869.134183,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01477193832397461,normal
7490,1763251869.134412,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022912025451660156,normal
7491,1763251869.149183,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014770984649658203,normal
7492,1763251869.149412,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002288818359375,normal
7493,1763251869.179185,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.02977299690246582,normal
7494,1763251869.179414,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00022912025451660156,normal
